Index,Word,Kana,Meaning,Part of Speech,Example JP,Example EN,Jisho Link
0,それ,それ,"that, that one",Pronoun,それはとってもいい話だ。,That's a really nice story.,http://jisho.org/search/%E3%81%9D%E3%82%8C
1,一つ,ひとつ,one (thing),Noun,それを一つください。,Please give me one of those.,http://jisho.org/search/%E4%B8%80%E3%81%A4
2,一,いち,one,Noun,一から始めましょう。,Let's start from the beginning.,http://jisho.org/search/%E4%B8%80
3,二,に,two,Noun,その人には二回会った。,I met that person twice.,http://jisho.org/search/%E4%BA%8C
4,二つ,ふたつ,two (things),Noun,ソフトクリームを二つください。,Please give me two ice cream cones.,http://jisho.org/search/%E4%BA%8C%E3%81%A4
5,三,さん,three,Noun,彼女は三人の子供の母親だ。,She's the mother of three children.,http://jisho.org/search/%E4%B8%89
6,三つ,みっつ,three (things),Noun,コップを三つ買いました。,I bought three glasses.,http://jisho.org/search/%E4%B8%89%E3%81%A4
7,四つ,よっつ,four (things),Noun,私は腕時計を四つ持っています。,I have four wristwatches.,http://jisho.org/search/%E5%9B%9B%E3%81%A4
8,四,し,four,Noun,四月に大学に入学しました。,I entered my university in April.,http://jisho.org/search/%E5%9B%9B
9,これ,これ,"this, this one",Noun,これをください。,I'll have this please.,http://jisho.org/search/%E3%81%93%E3%82%8C
10,四,よん,four,Noun,ハワイは四回目です。,This is my fourth trip to Hawaii.,http://jisho.org/search/%E5%9B%9B
11,五つ,いつつ,five (things),Noun,桃を五つください。,"I'd like five peaches, please.",http://jisho.org/search/%E4%BA%94%E3%81%A4
12,五,ご,five,Noun,五人で旅行に行きました。,Five of us went on a trip.,http://jisho.org/search/%E4%BA%94
13,六つ,むっつ,six (things),Noun,息子は六つになりました。,My son turned six.,http://jisho.org/search/%E5%85%AD%E3%81%A4
14,六,ろく,six,Noun,彼には子供が六人います。,He has six children.,http://jisho.org/search/%E5%85%AD
15,七,なな,seven,Noun,バナナが七本あります。,There are seven bananas.,http://jisho.org/search/%E4%B8%83
16,七つ,ななつ,seven (things),Noun,この子は今年七つになります。,Our kid's turning seven this year.,http://jisho.org/search/%E4%B8%83%E3%81%A4
17,八,はち,eight,Noun,りんごを八個ください。,Please give me eight apples.,http://jisho.org/search/%E5%85%AB
18,八つ,やっつ,eight (things),Noun,あの家には時計が八つあります。,There are eight clocks in that house.,http://jisho.org/search/%E5%85%AB%E3%81%A4
19,なる,なる,become,Verb,彼は医者になりました。,He became a doctor.,http://jisho.org/search/%E3%81%AA%E3%82%8B
20,九,きゅう,nine,Noun,野球は九人で1チームです。,In baseball there are nine people on one team.,http://jisho.org/search/%E4%B9%9D
21,九つ,ここのつ,nine (things),Noun,娘は明日九つになります。,My daughter's turning nine tomorrow.,http://jisho.org/search/%E4%B9%9D%E3%81%A4
22,十,じゅう,ten,Noun,その子は指で十数えました。,The child counted to ten on her fingers.,http://jisho.org/search/%E5%8D%81
23,百,ひゃく,hundred,Noun,私の祖母は百才です。,My grandmother is 100 years old.,http://jisho.org/search/%E7%99%BE
24,千,せん,thousand,Noun,千円貸してください。,Please lend me 1000 yen.,http://jisho.org/search/%E5%8D%83
25,万,まん,ten thousand,Noun,この靴は1万円です。,These shoes are ten thousand yen.,http://jisho.org/search/%E4%B8%87
26,円,えん,circle,Noun,そこに大きな円を描いて。,Draw a big circle there.,http://jisho.org/search/%E5%86%86
27,円,えん,yen,Noun,カレーライスは700円です。,The curry and rice is 700 yen.,http://jisho.org/search/%E5%86%86
28,時,とき,time,Noun,時の経つのは早い。,Time passes by quickly.,http://jisho.org/search/%E6%99%82
29,する,する,"do, make",Verb,友達と一緒に宿題をした。,I did my homework with a friend.,http://jisho.org/search/%E3%81%99%E3%82%8B
30,時々,ときどき,sometimes,Adverb,彼は時々遅刻します。,He's sometimes late.,http://jisho.org/search/%E6%99%82%E3%80%85
31,日,にち,day,Noun,私たちは先月11日に結婚しました。,We got married last month on the 11th.,http://jisho.org/search/%E6%97%A5
32,六日,むいか,"six days, 6th of the month",Noun,六日前に日本に帰ってきました。,I came back to Japan six days ago.,http://jisho.org/search/%E5%85%AD%E6%97%A5
33,三日,みっか,"three days, 3rd of the month",Noun,手紙が届くのに三日かかりました。,It took three days for the letter to arrive.,http://jisho.org/search/%E4%B8%89%E6%97%A5
34,五日,いつか,"five days, 5th of the month",Noun,五月五日は祝日です,May 5th is a holiday.,http://jisho.org/search/%E4%BA%94%E6%97%A5
35,八日,ようか,"eight days, 8th of the month",Noun,八日からイギリスに行きます。,I go to England on the eighth.,http://jisho.org/search/%E5%85%AB%E6%97%A5
36,二十日,はつか,"20 days, 20th of the month",Noun,来月の二十日は弟の誕生日です。,The 20th of next month is my little brother's birthday.,http://jisho.org/search/%E4%BA%8C%E5%8D%81%E6%97%A5
37,二日,ふつか,"two days, 2nd of the month",Noun,私は二日待った。,I waited two days.,http://jisho.org/search/%E4%BA%8C%E6%97%A5
38,九日,ここのか,"nine days, 9th of the month",Noun,九日に荷物が届きます。,The package will arrive on the ninth.,http://jisho.org/search/%E4%B9%9D%E6%97%A5
