Index,Kanji,Reading,Definition,Frequency,Dispersion,Core 6K Position,Jisho Link
0,の,の,of; in; at; for; by,"47,078",0.98,N/A,http://jisho.org/search/の
1,に,に,at; on; in; to; for,"32,231",1,N/A,http://jisho.org/search/に
2,は,は,TOPIC,"31,572",1,N/A,http://jisho.org/search/は
3,た,た,PAST,"31,549",0.98,N/A,http://jisho.org/search/た
4,を,を,ACCUSATIVE,"29,120",0.99,N/A,http://jisho.org/search/を
5,だ,だ,COPULA,"27,686",0.99,N/A,http://jisho.org/search/だ
6,が,が,NOMINATIVE,"26,904",1,N/A,http://jisho.org/search/が
7,て,て,REASON,"22,523",0.96,N/A,http://jisho.org/search/て
8,と,と,and; or; with; if,"18,509",1,N/A,http://jisho.org/search/と
9,ます,ます,POLITE (after verb),"16,855",0.95,N/A,http://jisho.org/search/ます
10,も,も,"too, also","16,147",0.97,N/A,http://jisho.org/search/も
11,で,で,in; at; from; by,"14,058",1,N/A,http://jisho.org/search/で
12,"ている, てる","ている,てる",CONTINUATION,"13,555",0.99,N/A,"http://jisho.org/search/ている, てる"
13,です,です,COPULA (polite),"9,828",0.83,N/A,http://jisho.org/search/です
14,れる,れる,PASSIVE,"9,234",0.99,N/A,http://jisho.org/search/れる
15,"という, つう","という,とゆう,つう","called, named","9,073",0.8,N/A,"http://jisho.org/search/という, つう"
16,事,こと,thing,"8,747",0.96,2147,http://jisho.org/search/事
17,"えー, ええ",えー,"eh?, what?; well, yes","8,636",0.07,N/A,"http://jisho.org/search/えー, ええ"
18,言う,"いう,ゆう","say, speak, talk","8,549",0.91,153,http://jisho.org/search/言う
19,"のです, んです","のです,んです",ASSERTION (polite),"8,439",0.71,N/A,"http://jisho.org/search/のです, んです"
20,"あの, あのう, あのー","あの,あのー","Excuse me; uh, eh, um, ah, er","8,431",0,N/A,"http://jisho.org/search/あの, あのう, あのー"
21,する,する,do; make,"7,644",0.99,29,http://jisho.org/search/する
22,"まー, まあ",まー,"Wow!, Oh my God!","6,950",0.04,N/A,"http://jisho.org/search/まー, まあ"
23,の,の,POSSESSIVE,"6,883",0.95,N/A,http://jisho.org/search/の
24,ある,ある,"be (existence), have (possession), happen, occur","6,496",0.98,N/A,http://jisho.org/search/ある
25,ね,ね,"isn’t it?, don’t you?","6,282",0.7,N/A,http://jisho.org/search/ね
26,ない,ない,not,"6,253",0.98,N/A,http://jisho.org/search/ない
27,なる,なる,"become, get; come to do, start to do; turn into","5,977",0.99,398,http://jisho.org/search/なる
28,か,か,QUESTION,"5,594",0.91,N/A,http://jisho.org/search/か
29,その,その,that,"5,546",0.95,N/A,http://jisho.org/search/その
30,けれど,けれど,"though, although","5,293",0.64,N/A,http://jisho.org/search/けれど
31,から,から,from,"4,740",1,N/A,http://jisho.org/search/から
32,よう,よう,INDUCEMENT,"4,638",0.97,369,http://jisho.org/search/よう
33,思う,おもう,"think, believe; feel; expect","4,599",0.88,208,http://jisho.org/search/思う
34,で,で,"so, then","4,412",0.15,N/A,http://jisho.org/search/で
35,か,か,if; or,"4,308",0.94,N/A,http://jisho.org/search/か
36,が,が,ADVERSATIVE,"4,168",0.96,N/A,http://jisho.org/search/が
37,物,もの,"thing, object, stuff","3,676",0.96,799,http://jisho.org/search/物
38,そう,そう,"so, such","3,586",0.8,59,http://jisho.org/search/そう
39,何,なに,what; something; anything; nothing,"3,497",0.76,417,http://jisho.org/search/何
40,と,と,"if, when; with","3,458",0.97,N/A,http://jisho.org/search/と
41,私,"わたし,わたくし,あたし",I,"3,404",0.9,4096,http://jisho.org/search/私
42,てしまう,てしまう,end up doing  .  .  .,"3,352",0.78,N/A,http://jisho.org/search/てしまう
43,それ,それ,that,"3,278",0.91,0,http://jisho.org/search/それ
44,とか,とか,and; or,"3,174",0,N/A,http://jisho.org/search/とか
45,この,この,this,"2,974",0.97,N/A,http://jisho.org/search/この
46,無い,ない,"There is no  .  .  .  , no  .  .  .","2,953",0.96,188,http://jisho.org/search/無い
47,行く,"いく,ゆく",go; come,"2,746",0.88,70,http://jisho.org/search/行く
48,"のだ, んだ","のだ,んだ",ASSERTION,"2,708",0.94,N/A,"http://jisho.org/search/のだ, んだ"
49,せる,せる,CAUSATIVE,"2,702",0.87,N/A,http://jisho.org/search/せる
50,これ,これ,this,"2,685",0.93,9,http://jisho.org/search/これ
51,もう,もう,already; soon; again,"2,630",0.66,440,http://jisho.org/search/もう
52,である,である,COPULA (formal),"2,586",0.81,N/A,http://jisho.org/search/である
53,時,とき,time,"2,514",0.96,28,http://jisho.org/search/時
54,な,な,PROHIBITION,"2,265",0.78,N/A,http://jisho.org/search/な
55,ず,ず,NEGATION,"2,250",0.94,N/A,http://jisho.org/search/ず
56,"ので, んで","ので,んで","as, because, since","2,181",0,N/A,"http://jisho.org/search/ので, んで"
57,人,ひと,"person, people, human being","2,178",0.93,87,http://jisho.org/search/人
58,よ,よ,"ASSERTION, REMINDING (informal)","2,134",0.88,N/A,http://jisho.org/search/よ
59,こう,こう,"so, like this","2,099",0.73,119,http://jisho.org/search/こう
60,から,から,"because, since","2,028",0.96,N/A,http://jisho.org/search/から
61,ば,ば,if,"1,909",0.98,N/A,http://jisho.org/search/ば
62,や,や,and; or,"1,881",0.93,N/A,http://jisho.org/search/や
63,来る,くる,come,"1,876",0.92,67,http://jisho.org/search/来る
64,その,その,"uh, er, um, mm","1,868",0.01,N/A,http://jisho.org/search/その
65,まで,まで,"to, till, until","1,839",0.99,N/A,http://jisho.org/search/まで
66,見る,みる,"see; look at, watch; check","1,814",0.98,147,http://jisho.org/search/見る
67,たり,たり,and,"1,793",0.84,N/A,http://jisho.org/search/たり
68,今,いま,now,"1,760",0.92,63,http://jisho.org/search/今
69,"良い,いい","よい,いい",good,"1,734",0.84,N/A,"http://jisho.org/search/良い,いい"
70,所,ところ,"place, point; part; aspect","1,714",0.93,N/A,http://jisho.org/search/所
71,自分,じぶん,oneself,"1,709",0.86,311,http://jisho.org/search/自分
72,ん,ん,"oh, mm, well","1,706",0.16,N/A,http://jisho.org/search/ん
73,あー,あー,"er, uh, um, hmm, ah, oh","1,695",0.36,N/A,http://jisho.org/search/あー
74,"やはり,やっぱり","やはり,やっぱり","as (one) expected, still","1,680",0.66,N/A,"http://jisho.org/search/やはり,やっぱり"
75,たい,たい,"want to, like to","1,663",0.98,N/A,http://jisho.org/search/たい
