Index,Word,Romaji,Meaning,Page Link,Page Number,Detailed Info
0,あげる (1),ageru1,Someone gives something to a person who is not a member of the giver’s in group but whose status is about equal to that of the giver.Give,entries/1.html,B. 63,"{'Explanation': 'Spoiler English example sentencesSomeone gives something to a person who is not a member of the giver’s in group but whose status is about equal to that of the giver.Give', 'Example Sentences': [('私は良子に花をあげた・あげました。', 'I gave Yoshiko flowers.'), ('大野さんは山本さんに本をあげた。', 'Ms. Ono gave Mr. Yamamoto a book.'), ('君はアンに何をあげましたか。', 'What did you give to Ann?')], 'Image Notes': 'https://postautistic.github.io/img/Basicあげる1.png'}"
1,あげる (2),ageru2,Someone gives some action as a favour to a person who is not a member of the giver’s in group but whose status is about equal of the giver.Do something for someone; do someone a favour by doing something,entries/2.html,B. 65,"{'Explanation': 'Spoiler English example sentencesSomeone gives some action as a favour to a person who is not a member of the giver’s in group but whose status is about equal of the giver.Do something for someone; do someone a favour by doing something', 'Example Sentences': [('私は信男さんにネクタイを買ってあげた・あげました。', 'I bought a tie for Nobuo.'), ('僕は春子さんを慰めてあげた・あげました。', 'I consoled Haruko.'), ('君はお母さんに何をしてあげましたか。', 'What did you do for your mother?'), ('田中さんはスミスさんに本を貸してあげた。', 'Mr. Tanaka lent a book to Mr. Smith.')], 'Image Notes': 'https://postautistic.github.io/img/Basicあげる2.png'}"
2,間・あいだ(に),aidani,The space between two temporal or physical points.During (the time when); while,entries/3.html,B. 67,"{'Explanation': 'Spoiler English example sentencesThe space between two temporal or physical points.During (the time when); while', 'Example Sentences': [('私がご飯を食べている間山田さんはテレビを見ていた・いました。', 'While I was eating my meal, Mr Yamada was watching TV.'), ('私がご飯を食べている間に山田さんが来た・来ました。', 'While I was eating my meal, Mr. Yamada came in.'), ('スミスさんは日本にいる間英語を教えていました。', 'Mr. Smith was teaching English (all during the time) while he was in Japan.'), ('子供達がテルビを見ている間私は本を読んでいました。', 'I was reading a book (all during the time) while my children were watching TV.'), ('高橋さんはアメリカにいる間にゴルフを覚えました。', 'Mr. Takahashi learned golf while he was in America.'), ('中川さんのお母さんは中川さんがパリに留学している間に病気になりました。', ""Mr. Nakagawa's mother become ill while he was studying in Paris.""), ('秋子は子供がいない間に本を読む。', 'Akiko reads books while her children are not at home.')], 'Image Notes': 'https://postautistic.github.io/img/Basic間に.png'}"
3,あまり,amari,The degree of something is not great.(not) very much; (not) very,entries/4.html,B. 72,"{'Explanation': 'Spoiler English example sentencesThe degree of something is not great.(not) very much; (not) very', 'Example Sentences': [('この本はあまりよくない・よくありません。', 'This book is not very good.'), ('鈴木さんはあまり食べない。', 'Miss Suzuki does not eat much.'), ('私はあまり速く走れません。', 'I cannot run very fast.')], 'Image Notes': 'https://postautistic.github.io/img/Basicあまり.png'}"
4,ある (1),aru1,An inanimate thing exists.Be; exist; have,entries/5.html,B. 73,"{'Explanation': 'Spoiler English example sentencesAn inanimate thing exists.Be; exist; have', 'Example Sentences': [('この町（に）は大学が三つある・あります。', 'In this town are three universities.'), ('エッフェル塔はパリにある・あります。', 'The Eiffel Tower is in Paris.'), ('私のアパト(に)はテレビが二台ある。', 'There are two TV sets in my apartment.'), ('デトロイトはミシガン州にあります。', 'Detroit is in the State of Michigan.'), ('和田さんのうち(に)はクーラーがない。', ""There is no air-conditioner at Mr. Wada's."")], 'Image Notes': 'https://postautistic.github.io/img/Basicある1.png'}"
5,ある (2),aru2,Something has been done to something and the resultant state of that action remains.Have been done; be done,entries/6.html,B. 76,"{'Explanation': 'Spoiler English example sentencesSomething has been done to something and the resultant state of that action remains.Have been done; be done', 'Example Sentences': [('それはもうジョンに話してある・あります。', ""It's been told to John already.""), ('飲み物はもう買ってあります。', 'Drinks have already been bought.'), ('窓が開けてある。', 'The window has been open/is open.')], 'Image Notes': 'https://postautistic.github.io/img/Basicある2.png'}"
6,あとで,atode,Some state or action takes place at a time (not always immediately) after another state or action has taken place.After,entries/7.html,B. 78,"{'Explanation': 'Spoiler English example sentencesSome state or action takes place at a time (not always immediately) after another state or action has taken place.After', 'Example Sentences': [('メイソンさんは日本へ行ったあとで病気になった・なりました。', 'Mr. Mason became ill after he went to Japan.'), ('私は授業のあとで図書館に行った・行きました。', 'After the class I went to the library.'), ('ご飯を食べたあと（で）すぐ勉強しました。', 'I studied right after I had eaten my meal.'), ('山田さんはビールを飲んだあと（で）寝てしまった。', 'Mr. Yamada fell asleep after he drank beer.'), ('戦争が終わったあと（で）東京に戻りました。', 'I went back to tokyo after the war ended.'), ('食事のあとでテニスをした。', 'I played tennis after my meal.')], 'Image Notes': 'https://postautistic.github.io/img/Basicあとで.png'}"
7,ば,ba,A conjunction which indicates that the preceding clause expresses a conditional.If,entries/8.html,B. 81,"{'Explanation': 'Spoiler English example sentencesA conjunction which indicates that the preceding clause expresses a conditional.If', 'Example Sentences': [('この薬を飲めばよくなる・なります。', ""If you take this medicine, you'll get well.""), ('これは松本先生に聞けば分かります。', ""You'll understand it if you ask Professor Matsumoto.""), ('その町は車で行けば三十分で行ける。', 'You can get to that town in thirty minutes if you go by car.'), ('安ければ買います。', ""I'll buy it if it's cheap./I would buy it if were cheap.""), ('時間があれば京都へも行きたい。', 'If I have time, I want to go to Kyoto too./If I had time, I would want to go to Kyoto, too.'), ('見たければ見なさい。', 'If you want to see it, see it.'), ('出来ればこれもやってください。', 'Please do this, too, if you can.')], 'Image Notes': 'https://postautistic.github.io/img/Basicば.png'}"
8,ばかり,bakari,"A particle which indicates that something is the only thing or state which exists, or the action someone will take, takes, is taking or took.Only; just; be ready to do something; have just done something; just did something; be just doing something; about",entries/9.html,B. 84,"{'Explanation': 'Spoiler English example sentencesA particle which indicates that something is the only thing or state which exists, or the action someone will take, takes, is taking or took.Only; just; be ready to do something; have just done something; just did something; be just doing something; about', 'Example Sentences': [('デザートは食べるばかりになっている・います。', 'The only thing left to do with the dessert is to eat it./The dessert is ready to eat.'), ('友子は遊んでばかりいる・います。', 'The only thing Tomoko is doing is playing./Tomoko is doing nothing but playing.'), ('私は昼ご飯を食べたばかりだ・です。', ""I had my lunch and haven't done anything else since then./I have just eaten my lunch.""), ('このレストランは安いばかりだ・です。', 'The only merit of this restaurant is that the food is inexpensive./This restaurant is just cheap.'), ('デニスはビールばかり飲んでいる・います', 'Dennis is drinking only beer.'), ('私は一月ばかりパリにいた・いました。', 'I was in Paris for about a month.'), ('このレポートはあと結論を書くばかりだ。', 'The only thing left to do with this report is to write a conclusion.'), ('春江は泣いてばかりいて何も話そうとしない。', ""Harue is just crying and won't talk about anything.""), ('松山さんは今シカゴに着いたばかりです。', 'Mr. Matsuyama has just arrived in Chicago now.'), ('この仕事は面倒なばかりであまり儲かりません。', ""This job is troublesome and doesn't bring us big profits.""), ('この寮に住んでいるのは男子学生ばかりだ。', 'The students who are living in this dorm are all boys.'), ('フィッシャー先生はリサとばかり話している。', 'Professor Fisher is talking only with Lisa.'), ('十人ばかりの友達が手伝ってくれました。', 'About ten friends helped me.')], 'Image Notes': 'https://postautistic.github.io/img/Basicばかり.png'}"
9,ばよかった,bayokatta,A phrase which expresses the speaker’s regret.I wish ~ had done something,entries/10.html,B. 87,"{'Explanation': 'Spoiler English example sentencesA phrase which expresses the speaker’s regret.I wish ~ had done something', 'Example Sentences': [('先生に聞けばよかった・ばよかったです。', 'I wish I had asked my teacher.'), ('あの本を読めばよかった。', 'I wish I had read that book.'), ('ウェルズさんは日本へ行けばよかったね。', ""I wish Mr. Wells had gone to Japan, don't you?""), ('ああ、もっと英語を勉強しておけばよかったなあ。', 'Oh, I wish I had studied English harder!')], 'Image Notes': 'https://postautistic.github.io/img/Basicばよかった.png'}"
