Index,Author Name,Romanized Name,Year,Title,Work Link,Kanji Count,Total Characters,Characters Per Sentence
0,森 鴎外,Ogai Mori,1916,伊沢蘭軒,http://www.aozora.gr.jp/cards/000129/files/2084_17397.html,4145,566413,25
1,徳冨 蘆花,Roka Tokutomi,1933,みみずのたはこと,http://www.aozora.gr.jp/cards/000279/files/1704_6917.html,3285,479618,32
2,アンデルセン ハンス・クリスチャン,Hans Christian Andersen,1967,即興詩人,http://www.aozora.gr.jp/cards/000019/files/4376_19283.html,3179,403350,32
3,尾崎 紅葉,Koyo Ozaki,1897,金色夜叉,http://www.aozora.gr.jp/cards/000091/files/522_19603.html,3112,548255,40
4,徳富 蘇峰,Soho Tokutomi,1892,吉田松陰,http://www.aozora.gr.jp/cards/001369/files/51204_62108.html,2962,216858,42
5,モース エドワード・シルヴェスター,Edward Sylvester Morse,1929,日本その日その日,http://www.aozora.gr.jp/cards/001764/files/55990_60221.html,2887,422860,43
6,夢野 久作,Kyusaku Yumeno,1992,ドグラ・マグラ,http://www.aozora.gr.jp/cards/000096/files/2093_28841.html,2873,435314,41
7,吉川 英治,Eiji Yoshikawa,1927,江戸三国志,http://www.aozora.gr.jp/cards/001562/files/57875_60802.html,2862,631733,38
8,大鹿 卓,Taku Oshika,1972,渡良瀬川,http://www.aozora.gr.jp/cards/001476/files/51155_59739.html,2847,200700,39
9,夏目 漱石,Soseki Natsume,1905,吾輩は猫である,http://www.aozora.gr.jp/cards/000148/files/789_14547.html,2843,406603,36
10,森 鴎外,Ogai Mori,1916,渋江抽斎,http://www.aozora.gr.jp/cards/000129/files/2058_19628.html,2794,303955,33
11,幸田 露伴,Rohan Koda,1940,努力論,http://www.aozora.gr.jp/cards/000051/files/4331_42264.html,2791,141279,58
12,小栗 虫太郎,Mushitaro Oguri,1934,黒死館殺人事件,http://www.aozora.gr.jp/cards/000125/files/1317_23268.html,2786,341537,47
13,横光 利一,Riichi Yokomitsu,1998,旅愁,http://www.aozora.gr.jp/cards/000168/files/2246_20011.html,2780,403544,39
14,河口 慧海,Ekai Kwaguchi,1904,チベット旅行記,http://www.aozora.gr.jp/cards/001404/files/49966_44769.html,2759,558174,49
15,久生 十蘭,Juran Hisao,1937,魔都,http://www.aozora.gr.jp/cards/001224/files/46076_49499.html,2729,226368,42
16,国枝 史郎,Shiro Kunieda,1922,蔦葛木曽棧,http://www.aozora.gr.jp/cards/000255/files/47055_58737.html,2724,385094,28
17,吉川 英治,Eiji Yoshikawa,1989,三国志,http://www.aozora.gr.jp/cards/001562/files/52418_51069.html,2716,233785,32
18,吉川 英治,Eiji Yoshikawa,1940,源頼朝,http://www.aozora.gr.jp/cards/001562/files/56144_60015.html,2675,375851,29
